symbol,strategy,timeframe,start,end,signals,trades,wins,losses,win_rate_pct,final_balance,profit_usd,return_pct,max_drawdown_pct
BTCUSDT,VWAP Momentum Scalp,15m,2026-05-19 10:45:00,2026-06-18 10:45:00,25,21,11,10,52.38,1002.26,2.26,0.23,5.25
BTCUSDT,Liquidity Sweep 15m/1h,15m,2026-05-19 10:45:00,2026-06-18 10:45:00,0,0,0,0,0.0,1000.0,0.0,0.0,0.0
BTCUSDT,Liquidity Sweep 1h/4h,1h,2026-05-19 10:45:00,2026-06-18 10:45:00,0,0,0,0,0.0,1000.0,0.0,0.0,0.0
BTCUSDT,ATR Volume Breakout,1h,2026-05-19 10:45:00,2026-06-18 10:45:00,26,6,3,3,50.0,1061.65,61.65,6.17,6.57
ETHUSDT,VWAP Momentum Scalp,15m,2026-05-19 10:45:00,2026-06-18 10:45:00,35,33,13,20,39.39,942.05,-57.95,-5.79,9.67
ETHUSDT,Liquidity Sweep 15m/1h,15m,2026-05-19 10:45:00,2026-06-18 10:45:00,0,0,0,0,0.0,1000.0,0.0,0.0,0.0
ETHUSDT,Liquidity Sweep 1h/4h,1h,2026-05-19 10:45:00,2026-06-18 10:45:00,0,0,0,0,0.0,1000.0,0.0,0.0,0.0
ETHUSDT,ATR Volume Breakout,1h,2026-05-19 10:45:00,2026-06-18 10:45:00,19,5,1,4,20.0,856.6,-143.4,-14.34,15.94
BNBUSDT,VWAP Momentum Scalp,15m,2026-05-19 10:45:00,2026-06-18 10:45:00,30,23,11,12,47.83,982.63,-17.37,-1.74,10.21
BNBUSDT,Liquidity Sweep 15m/1h,15m,2026-05-19 10:45:00,2026-06-18 10:45:00,0,0,0,0,0.0,1000.0,0.0,0.0,0.0
BNBUSDT,Liquidity Sweep 1h/4h,1h,2026-05-19 10:45:00,2026-06-18 10:45:00,0,0,0,0,0.0,1000.0,0.0,0.0,0.0
BNBUSDT,ATR Volume Breakout,1h,2026-05-19 10:45:00,2026-06-18 10:45:00,23,8,5,3,62.5,1232.54,232.54,23.25,4.86
SOLUSDT,VWAP Momentum Scalp,15m,2026-05-19 10:45:00,2026-06-18 10:45:00,29,26,12,14,46.15,910.15,-89.85,-8.99,11.26
SOLUSDT,Liquidity Sweep 15m/1h,15m,2026-05-19 10:45:00,2026-06-18 10:45:00,0,0,0,0,0.0,1000.0,0.0,0.0,0.0
SOLUSDT,Liquidity Sweep 1h/4h,1h,2026-05-19 10:45:00,2026-06-18 10:45:00,0,0,0,0,0.0,1000.0,0.0,0.0,0.0
SOLUSDT,ATR Volume Breakout,1h,2026-05-19 10:45:00,2026-06-18 10:45:00,18,3,2,1,66.67,1184.19,184.19,18.42,7.49
XRPUSDT,VWAP Momentum Scalp,15m,2026-05-19 10:45:00,2026-06-18 10:45:00,27,23,11,12,47.83,999.72,-0.28,-0.03,7.06
XRPUSDT,Liquidity Sweep 15m/1h,15m,2026-05-19 10:45:00,2026-06-18 10:45:00,0,0,0,0,0.0,1000.0,0.0,0.0,0.0
XRPUSDT,Liquidity Sweep 1h/4h,1h,2026-05-19 10:45:00,2026-06-18 10:45:00,0,0,0,0,0.0,1000.0,0.0,0.0,0.0
XRPUSDT,ATR Volume Breakout,1h,2026-05-19 10:45:00,2026-06-18 10:45:00,15,4,4,0,100.0,1196.26,196.26,19.63,6.95
ADAUSDT,VWAP Momentum Scalp,15m,2026-05-19 10:45:00,2026-06-18 10:45:00,31,24,9,15,37.5,931.06,-68.94,-6.89,12.96
ADAUSDT,Liquidity Sweep 15m/1h,15m,2026-05-19 10:45:00,2026-06-18 10:45:00,0,0,0,0,0.0,1000.0,0.0,0.0,0.0
ADAUSDT,Liquidity Sweep 1h/4h,1h,2026-05-19 10:45:00,2026-06-18 10:45:00,0,0,0,0,0.0,1000.0,0.0,0.0,0.0
ADAUSDT,ATR Volume Breakout,1h,2026-05-19 10:45:00,2026-06-18 10:45:00,13,5,3,2,60.0,1137.28,137.28,13.73,7.36
