coin,fast,slow,return_pct,trades,win_rate,max_dd
BTCUSDT,10,50,19.3,412,29.85,58.57
BTCUSDT,10,100,22.36,276,24.64,58.8
BTCUSDT,10,150,15.83,211,28.91,57.07
BTCUSDT,10,200,23.08,176,26.7,48.04
BTCUSDT,20,50,11.66,360,34.17,53.73
BTCUSDT,20,100,65.55,204,29.9,45.85
BTCUSDT,20,150,56.65,160,31.87,53.02
BTCUSDT,20,200,47.3,142,29.58,42.52
BTCUSDT,30,50,124.82,356,35.67,39.61
BTCUSDT,30,100,61.13,186,33.87,49.86
BTCUSDT,30,150,65.31,141,31.21,51.3
BTCUSDT,30,200,49.21,125,27.2,46.63
BTCUSDT,40,50,108.28,425,37.41,44.79
BTCUSDT,40,100,151.58,170,37.65,40.62
BTCUSDT,40,150,60.97,128,36.72,52.69
BTCUSDT,40,200,111.17,104,32.69,37.15
ETHUSDT,10,50,-31.5,425,29.88,59.0
ETHUSDT,10,100,-15.65,271,26.94,60.83
ETHUSDT,10,150,-48.45,222,22.07,76.06
ETHUSDT,10,200,-23.27,184,19.02,58.65
ETHUSDT,20,50,-21.65,348,32.18,66.03
ETHUSDT,20,100,-13.45,203,30.54,62.8
ETHUSDT,20,150,-40.47,164,24.39,67.8
ETHUSDT,20,200,-12.96,142,21.83,53.17
ETHUSDT,30,50,-1.4,375,38.13,61.75
ETHUSDT,30,100,34.25,179,32.4,58.86
ETHUSDT,30,150,-31.21,145,26.21,59.74
ETHUSDT,30,200,50.14,114,29.82,50.78
ETHUSDT,40,50,-15.44,452,38.72,54.03
ETHUSDT,40,100,8.31,177,36.16,58.01
ETHUSDT,40,150,-21.34,131,28.24,54.93
ETHUSDT,40,200,3.17,101,28.71,51.75
SOLUSDT,10,50,178.78,398,32.66,79.94
SOLUSDT,10,100,315.06,253,32.81,73.57
SOLUSDT,10,150,76.85,209,27.27,76.35
SOLUSDT,10,200,192.19,169,25.44,65.21
SOLUSDT,20,50,47.15,338,32.54,84.27
SOLUSDT,20,100,145.25,205,30.73,79.72
SOLUSDT,20,150,128.04,165,29.7,70.29
SOLUSDT,20,200,125.66,137,27.74,69.68
SOLUSDT,30,50,53.42,355,34.37,75.02
SOLUSDT,30,100,168.0,187,35.29,73.98
SOLUSDT,30,150,128.42,137,32.12,68.25
SOLUSDT,30,200,141.53,115,28.7,64.2
SOLUSDT,40,50,1.9,432,38.89,70.05
SOLUSDT,40,100,267.34,167,40.12,60.72
SOLUSDT,40,150,333.99,120,35.83,55.17
SOLUSDT,40,200,184.08,102,31.37,58.23
XRPUSDT,10,50,21.49,426,30.05,68.17
XRPUSDT,10,100,55.72,276,23.19,61.18
XRPUSDT,10,150,227.09,210,22.38,52.98
XRPUSDT,10,200,178.04,176,21.59,59.63
XRPUSDT,20,50,-22.34,367,27.52,70.32
XRPUSDT,20,100,31.72,223,26.91,66.5
XRPUSDT,20,150,158.89,160,29.38,54.09
XRPUSDT,20,200,88.42,139,23.02,67.32
XRPUSDT,30,50,11.95,361,30.47,67.56
XRPUSDT,30,100,75.92,196,30.1,56.83
XRPUSDT,30,150,81.37,150,26.67,68.07
XRPUSDT,30,200,80.85,112,26.79,67.4
XRPUSDT,40,50,-1.84,447,37.58,73.68
XRPUSDT,40,100,160.93,176,33.52,59.53
XRPUSDT,40,150,89.44,134,32.09,69.22
XRPUSDT,40,200,103.79,104,25.96,66.15
ADAUSDT,10,50,-35.31,390,30.77,77.78
ADAUSDT,10,100,-36.06,264,23.48,78.3
ADAUSDT,10,150,-29.0,212,20.28,77.86
ADAUSDT,10,200,-39.01,180,18.89,81.07
ADAUSDT,20,50,-24.03,343,32.07,74.97
ADAUSDT,20,100,-45.71,206,24.27,74.05
ADAUSDT,20,150,-14.07,157,25.48,66.95
ADAUSDT,20,200,-37.28,143,25.87,81.48
ADAUSDT,30,50,-17.52,335,34.03,70.24
ADAUSDT,30,100,-28.02,183,28.42,73.69
ADAUSDT,30,150,-23.98,136,27.21,77.02
ADAUSDT,30,200,16.67,118,27.97,69.12
ADAUSDT,40,50,13.94,423,37.35,67.22
ADAUSDT,40,100,-39.98,171,28.65,75.55
ADAUSDT,40,150,8.88,130,30.0,72.24
ADAUSDT,40,200,20.71,102,25.49,67.36
BNBUSDT,10,50,4.47,425,33.65,53.06
BNBUSDT,10,100,-1.49,262,28.63,47.84
BNBUSDT,10,150,3.76,210,25.71,42.87
BNBUSDT,10,200,35.67,158,27.85,44.26
BNBUSDT,20,50,24.29,345,36.23,41.72
BNBUSDT,20,100,5.21,200,31.0,39.77
BNBUSDT,20,150,31.97,154,30.52,51.65
BNBUSDT,20,200,85.71,123,32.52,49.48
BNBUSDT,30,50,-11.27,359,39.0,46.23
BNBUSDT,30,100,9.82,182,34.62,39.58
BNBUSDT,30,150,36.97,133,34.59,51.01
BNBUSDT,30,200,49.09,110,31.82,51.96
BNBUSDT,40,50,-51.51,446,38.79,62.07
BNBUSDT,40,100,-13.72,172,34.3,41.12
BNBUSDT,40,150,35.55,124,36.29,52.93
BNBUSDT,40,200,45.86,96,34.38,56.35
