strategy,mode,coin,timeframe,rr,trades,win_rate,pf,sharpe,drawdown,avg_r,expectancy,net_return
Volatility_Expansion,VE_1_BB_SQUEEZE,BTC,15m,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volatility_Expansion,VE_1_BB_SQUEEZE,BTC,15m,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volatility_Expansion,VE_1_BB_SQUEEZE,BTC,15m,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volatility_Expansion,VE_1_BB_SQUEEZE,BTC,15m,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volatility_Expansion,VE_1_BB_SQUEEZE,BTC,1H,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volatility_Expansion,VE_1_BB_SQUEEZE,BTC,1H,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volatility_Expansion,VE_1_BB_SQUEEZE,BTC,1H,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volatility_Expansion,VE_1_BB_SQUEEZE,BTC,1H,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volatility_Expansion,VE_1_BB_SQUEEZE,BTC,4H,1.0,5,40.0,0.47,-1.35,12.36,-0.6516,-0.6516,-9.16
Volatility_Expansion,VE_1_BB_SQUEEZE,BTC,4H,1.5,5,20.0,0.15,-4.13,16.26,-0.8699,-0.8699,-16.26
Volatility_Expansion,VE_1_BB_SQUEEZE,BTC,4H,2.0,5,40.0,0.31,-3.53,14.06,-0.688,-0.688,-13.01
Volatility_Expansion,VE_1_BB_SQUEEZE,BTC,4H,3.0,5,40.0,0.72,-2.28,11.13,-0.2934,-0.2934,-5.62
Volatility_Expansion,VE_1_BB_SQUEEZE,ETH,15m,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volatility_Expansion,VE_1_BB_SQUEEZE,ETH,15m,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volatility_Expansion,VE_1_BB_SQUEEZE,ETH,15m,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volatility_Expansion,VE_1_BB_SQUEEZE,ETH,15m,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volatility_Expansion,VE_1_BB_SQUEEZE,ETH,1H,1.0,6,16.67,0.41,-6.87,17.19,-0.7988,-0.7987,-10.99
Volatility_Expansion,VE_1_BB_SQUEEZE,ETH,1H,1.5,6,16.67,0.52,-6.87,17.19,-0.7149,-0.7148,-9.08
Volatility_Expansion,VE_1_BB_SQUEEZE,ETH,1H,2.0,1,0.0,0.0,0.0,2.02,-0.4411,-0.4411,-2.02
Volatility_Expansion,VE_1_BB_SQUEEZE,ETH,1H,3.0,1,0.0,0.0,0.0,2.02,-0.4411,-0.4411,-2.02
Volatility_Expansion,VE_1_BB_SQUEEZE,ETH,4H,1.0,53,41.51,0.66,-0.86,83.37,-0.1571,-0.157,-79.65
Volatility_Expansion,VE_1_BB_SQUEEZE,ETH,4H,1.5,56,37.5,0.73,-0.48,84.65,-0.097,-0.097,-78.53
Volatility_Expansion,VE_1_BB_SQUEEZE,ETH,4H,2.0,31,29.03,0.52,-1.3,67.17,-0.3211,-0.3211,-62.7
Volatility_Expansion,VE_1_BB_SQUEEZE,ETH,4H,3.0,41,24.39,0.64,-0.73,77.54,-0.221,-0.221,-74.93
Volatility_Expansion,VE_1_BB_SQUEEZE,SOL,15m,1.0,13,30.77,0.34,-10.39,24.14,-0.4313,-0.4312,-24.14
Volatility_Expansion,VE_1_BB_SQUEEZE,SOL,15m,1.5,8,12.5,0.04,-14.0,27.09,-0.9502,-0.9502,-27.09
Volatility_Expansion,VE_1_BB_SQUEEZE,SOL,15m,2.0,12,25.0,0.42,-7.83,26.47,-0.4354,-0.4354,-22.81
Volatility_Expansion,VE_1_BB_SQUEEZE,SOL,15m,3.0,17,23.53,0.52,-6.93,29.91,-0.2804,-0.2804,-29.91
Volatility_Expansion,VE_1_BB_SQUEEZE,SOL,1H,1.0,17,41.18,0.52,-2.56,38.97,-0.3105,-0.3104,-38.97
Volatility_Expansion,VE_1_BB_SQUEEZE,SOL,1H,1.5,17,35.29,0.63,-1.66,33.07,-0.2559,-0.256,-33.07
Volatility_Expansion,VE_1_BB_SQUEEZE,SOL,1H,2.0,16,25.0,0.46,-2.28,44.11,-0.3796,-0.3796,-44.11
Volatility_Expansion,VE_1_BB_SQUEEZE,SOL,1H,3.0,10,10.0,0.19,-5.53,54.68,-0.7473,-0.7473,-54.68
Volatility_Expansion,VE_1_BB_SQUEEZE,SOL,4H,1.0,83,46.99,0.82,-0.48,87.73,-0.103,-0.1029,-79.82
Volatility_Expansion,VE_1_BB_SQUEEZE,SOL,4H,1.5,93,38.71,0.89,-0.11,80.07,-0.0823,-0.0823,-61.19
Volatility_Expansion,VE_1_BB_SQUEEZE,SOL,4H,2.0,75,33.33,0.86,-0.04,76.26,-0.0693,-0.0694,-72.17
Volatility_Expansion,VE_1_BB_SQUEEZE,SOL,4H,3.0,53,26.42,0.79,-0.15,84.07,-0.1404,-0.1402,-79.88
Volatility_Expansion,VE_1_BB_SQUEEZE,BNB,15m,1.0,7,71.43,0.99,-0.29,8.69,0.1059,0.1059,-0.05
Volatility_Expansion,VE_1_BB_SQUEEZE,BNB,15m,1.5,7,57.14,1.03,-0.28,7.68,0.0673,0.0672,0.4
Volatility_Expansion,VE_1_BB_SQUEEZE,BNB,15m,2.0,6,66.67,1.98,4.1,5.09,0.7154,0.7155,9.74
Volatility_Expansion,VE_1_BB_SQUEEZE,BNB,15m,3.0,19,47.37,1.31,1.51,16.68,0.2748,0.2749,12.63
Volatility_Expansion,VE_1_BB_SQUEEZE,BNB,1H,1.0,17,47.06,0.5,-1.45,25.47,-0.4499,-0.4499,-22.07
Volatility_Expansion,VE_1_BB_SQUEEZE,BNB,1H,1.5,18,44.44,0.68,-0.41,29.73,-0.4487,-0.4488,-18.46
Volatility_Expansion,VE_1_BB_SQUEEZE,BNB,1H,2.0,18,38.89,0.73,-0.13,30.49,-0.4085,-0.4085,-17.18
Volatility_Expansion,VE_1_BB_SQUEEZE,BNB,1H,3.0,15,26.67,0.67,-0.4,30.05,-0.5264,-0.5262,-20.17
Volatility_Expansion,VE_1_BB_SQUEEZE,BNB,4H,1.0,27,33.33,0.42,-1.89,75.4,-0.5039,-0.504,-75.1
