asset,Trade Count,Win Rate,Net Profit,Expectancy,Profit Factor,Sharpe Ratio,Max Drawdown,Avg Holding Time,Classification
XRP,1,100.0,4363.805864407614,39.28117971866471,999.0,0.5776140801557298,0.0,340.0,STRONG
DOGE,9,44.44444444444444,2281.717501822861,1.3304319274832794,11.734183010239553,0.6388524267067418,7.1144404329464574,64.44444444444444,STRONG
RENDER,17,100.0,766.8791241471693,9.205536081918702,999.0,0.7951303602728795,0.0,71.29411764694444,STRONG
SUI,19,94.73684210526315,201.14029363988246,4.9530957352415,3295.383100285666,0.616069494079596,0.0,85.89473684194445,NEUTRAL
ADA,16,100.0,87.78302341593078,4.670753101352596,999.0,0.666518143425532,0.0,81.25,NEUTRAL
ETH,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NEUTRAL
AAVE,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NEUTRAL
BNB,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NEUTRAL
AVAX,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NEUTRAL
ONDO,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NEUTRAL
NEAR,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NEUTRAL
ENA,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NEUTRAL
HBAR,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NEUTRAL
LINK,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NEUTRAL
LTC,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NEUTRAL
INJ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NEUTRAL
HYPE,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NEUTRAL
WLD,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NEUTRAL
UNI,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NEUTRAL
TAO,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NEUTRAL
SOL,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NEUTRAL
ZEC,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NEUTRAL
BTC,1,0.0,-65.48409094888692,-0.3939338359563019,0.0,-0.57761408015573,1.9645246929913065,56.0,WEAK
TRX,1,0.0,-213.6347188792982,-1.0918505516549455,0.0,-0.5776140801557298,6.409047975426926,28.0,WEAK
DOT,7,0.0,-327.3985937820018,-4.620501404092537,0.0,-0.5847543379500105,9.821967635427685,27.42857142833333,REJECT
